267	Yahoo!         
2009-01-16     90.2065        
2009-01-17     90.443         
2009-01-18     90.443         
2009-01-19     90.714         
2009-01-20     90.6825        
2009-01-21     90.7343        
2009-01-22     90.4447        
2009-01-23     90.163         
2009-01-24     89.7086        
2009-01-25     90.3675        
2009-01-26     90.1936        
2009-01-27     90.4196        
2009-01-28     90.5294        
2009-01-29     90.7306        
2009-01-30     90.6022        
2009-01-31     90.2196        
2009-02-01     90.4055        
2009-02-02     90.1447        
2009-02-03     90.2088        
2009-02-04     90.4283        
2009-02-05     90.2544        
2009-02-06     90.2316        
2009-02-07     90.4849        
2009-02-08     90.5718        
2009-02-09     90.3337        
2009-02-10     90.2816        
2009-02-11     90.1826        
2009-02-12     90.1933        
2009-02-13     90.1477        
2009-02-14     90.1063        
2009-02-15     90.0836        
2009-02-16     89.9324        
2009-02-17     89.519         
2009-02-18     89.5298        
2009-02-19     89.4608        
2009-02-20     89.3729        
2009-02-21     89.5487        
2009-02-22     89.8178        
2009-02-23     89.8532        
2009-02-24     90.0302        
2009-02-25     90.0597        
2009-02-26     90.125         
2009-02-27     90.5875        
2009-02-28     90.7944        
2009-03-01     91.4489        
2009-03-02     91.259         
2009-03-03     91.1592        
2009-03-04     91.5222        
2009-03-05     91.3911        
2009-03-06     90.9348        
2009-03-07     91.3911        
2009-03-08     91.3911        
2009-03-09     91.4034        
2009-03-10     91.4922        
2009-03-11     91.4922        
2009-03-12     91.4922        
2009-03-13     91.107         
2009-03-14     90.8706        
2009-03-15     91.0048        
2009-03-16     91.014         
2009-03-17     91.5151        
2009-03-18     91.346         
2009-03-19     91.5026        
2009-03-20     91.4901        
2009-03-21     91.0757        
2009-03-22     90.9192        
2009-03-23     90.9192        
2009-03-24     90.9857        
2009-03-25     90.1859        
2009-03-30     90.5227        
2009-03-31     90.5227        
2009-04-01     90.6364        
2009-04-02     90.7154        
2009-04-03     90.5352        
2009-04-04     90.4562        
2009-04-05     90.9552        
2009-04-06     90.7751        
2009-04-07     90.7515        
2009-04-08     90.66          
2009-04-09     90.7297        
2009-04-10     90.616         
2009-04-11     90.4719        
2009-04-12     91.1261        
2009-04-13     91.2432        
2009-04-14     91.0617        
2009-04-15     91.1399        
2009-04-16     90.8928        
2009-04-17     90.6397        
2009-04-18     91.0027        
2009-04-19     91.0027        
2009-04-20     91.4326        
2009-04-21     91.4326        
2009-04-22     91.4996        
2009-04-23     91.4326        
2009-04-24     91.4373        
2009-04-25     91.5644        
2009-04-26     91.2001        
2009-04-27     91.2001        
2009-04-28     91.1567        
2009-04-29     91.109         
2009-04-30     90.9156        
2009-05-01     91.0852        
2009-05-02     91.3141        
2009-05-03     91.016         
2009-05-04     91.2662        
2009-05-05     91.1988        
2009-05-06     90.7417        
2009-05-07     90.8092        
2009-05-08     91.0595        
2009-05-09     90.9888        
2009-05-10     91.3816        
2009-05-11     91.4969        
2009-05-12     91.362         
2009-05-13     91.2466        
2009-05-14     91.1759        
2009-05-15     90.9565        
2009-05-16     89.9637        
2009-05-17     90.6949        
2009-05-18     90.6162        
2009-05-19     90.8904        
2009-05-20     91.3507        
2009-05-21     91.2114        
2009-05-22     91.3268        
2009-05-23     91.5771        
2009-05-24     91.7599        
2009-05-25     91.5851        
