Date           Google         IDP-East       IDP-West       MSN            West-NoXorro   Yahoo!         
2009-01-16     87.5771        89.9299        90.1253        85.8081        89.9526        90.2065        
2009-01-17     87.5425        90.3391        90.08          85.914         90.2528        90.443         
2009-01-18     87.3512        90.5817        90.3617        85.914         90.3617        90.443         
2009-01-19     87.0696        90.5515        90.5893        85.8794        90.5893        90.714         
2009-01-20     87.1874        90.5741        90.5591        85.902         90.5591        90.6825        
2009-01-21     87.5209        90.4532        90.7274        85.7293        90.8257        90.7343        
2009-01-22     87.5209        90.776         90.6335        85.6234        90.5591        90.4447        
2009-01-23     87.5846        90.5245        90.2504        85.4401        90.5139        90.163         
2009-01-24     87.144         90.3323        90.0657        85.6676        90.164         89.7086        
2009-01-25     87.2512        90.988         90.7043        86.0244        90.8033        90.3675        
2009-01-26     87.6174        90.814         90.5304        85.6093        90.5652        90.1936        
2009-01-27     87.41          90.7391        90.5652        85.6093        90.6001        90.4196        
2009-01-28     87.4872        90.4997        90.501         85.4996        90.5359        90.5294        
2009-01-29     87.2284        90.2281        90.9207        85.8996        90.9555        90.7306        
2009-01-30     87.5197        90.4096        90.5542        85.8398        90.4151        90.6022        
2009-01-31     87.7957        90.6412        90.4217        85.8278        90.4565        90.2196        
2009-02-01     88.0752        90.4445        90.6184        85.7408        90.6532        90.4055        
2009-02-02     87.8023        90.6705        90.6184        86.1083        90.6532        90.1447        
2009-02-03     87.3274        90.2161        90.6184        86.0538        90.6532        90.2088        
2009-02-04     87.686         90.4272        90.1435        85.5669        90.4272        90.4283        
2009-02-05     87.9696        90.5369        90.4379        86.1408        90.4727        90.2544        
2009-02-06     87.698         90.5172        90.4379        86.2995        90.4727        90.2316        
2009-02-07     87.1763        90.3661        90.7139        86.4016        90.8129        90.4849        
2009-02-08     86.8471        90.8236        90.7781        86.5755        90.8129        90.5718        
2009-02-09     86.9251        90.5172        90.4944        86.1159        90.5935        90.3337        
2009-02-10     86.7143        90.0628        90.3888        86.029         90.4879        90.2816        
2009-02-11     87.2057        90.4116        90.3019        86.3768        90.4009        90.1826        
2009-02-12     86.8882        90.0931        90.3888        86.1587        90.4879        90.1933        
2009-02-13     86.824         90.3433        90.453         86.1814        90.552         90.1477        
2009-02-14     86.6501        90.453         90.2791        85.3316        90.3781        90.1063        
2009-02-15     87.0849        90.453         90.2791        85.9403        90.3781        90.0836        
2009-02-16     87.323         90.2149        90.1052        85.1349        90.2042        89.9324        
2009-02-17     87.5101        89.4935        89.7045        79.2082        90.0099        89.519         
2009-02-18     87.3574        89.6693        89.6693        55.7776        89.7693        89.5298        
2009-02-19     87.4299        89.4705        89.4705        82.6704        89.5706        89.4608        
2009-02-20     87.0753        89.7111        89.3258        85.4824        89.4258        89.3729        
2009-02-21     86.4372        89.7111        89.5354        85.3296        89.8112        89.5487        
2009-02-22     87.0059        90.1162        90.1583        85.5334        90.2591        89.8178        
2009-02-23     87.0028        90.3585        90.3585        84.8718        90.4593        89.8532        
2009-02-24     87.2261        90.2932        90.3585        85.5797        90.4593        90.0302        
2009-02-25     87.164         90.303         90.2455        84.7601        90.3462        90.0597        
2009-02-26     87.2946        90.1583        90.3571        84.9371        90.6349        90.125         
2009-02-27     87.487         90.6925        90.7002        85.2911        90.801         90.5875        
2009-02-28     87.7195        90.9878        90.9956        85.4028        91.1318        90.7944        
2009-03-01     88.2288        91.4432        91.5853        86.0381        91.722         91.4489        
2009-03-02     87.7192        91.088         91.3844        85.7949        91.5211        91.259         
2009-03-03     87.6526        91.3121        91.4732        85.8415        91.6099        91.1592        
2009-03-04     87.6416        91.4897        91.4855        86.1967        91.7998        91.5222        
2009-03-05     88.8194        91.1768        91.5088        85.7526        91.6455        91.3911        
2009-03-06     89.2635        91.2455        91.3967        86.2231        91.5334        90.9348        
2009-03-07     88.8427        91.1535        91.5088        85.9235        91.6455        91.3911        
2009-03-08     88.8071        91.5088        91.3311        85.9891        91.4678        91.3911        
2009-03-09     88.7839        91.5088        91.532         86.2555        91.6687        91.4034        
2009-03-10     88.7183        91.5676        91.6099        85.9003        91.6455        91.4922        
2009-03-11     88.9615        91.6099        91.5211        86.4522        91.5566        91.4922        
2009-03-12     88.3521        91.2547        91.6099        86.8539        91.6455        91.4922        
2009-03-13     88.8071        91.2779        91.2124        86.8539        91.4911        91.107         
2009-03-14     89.1856        91.1891        91.1891        86.6531        91.2247        90.8706        
2009-03-15     89.2279        91.2656        91.2           86.2978        91.2356        91.0048        
